SourceOfFundID,Description,Remarks,RiskRating,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime,AutoTaggedAs
1,ALLOWANCE/REGULAR ALLOTMENT AND REMITTANCE,,Low,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
2,COMPENSATION/REMUNERATION,,Low,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
3,DIVIDENDS,,Low,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
4,INTEREST/COMMISSION,,Low,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
5,PENSION,,Low,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
6,SALARY,,Low,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
7,SALES,,Low,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
8,SAVINGS,,Low,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
9,STIPEND,,Low,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
10,BUSINESS,,Normal,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
11,DONATION,,High,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
12,INHERITANCE,,High,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
13,LOTTERY/WINNINGS,,High,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
14,PROCEEDS FROM SALE OF PROPERTY,,High,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
15,REMITTANCE,,High,9998,2015-12-09 14:48:17.000,9998,2015-12-09 14:48:17.000,None
16,FARMING,,Low,691,2021-03-15 11:29:32.860,691,2021-03-15 11:29:32.860,Low
