id,code,description,InsertedByUserID,InsertedDateTime,UpdatedByUserID,UpdatedDateTime
0,N/A,"Not part of any conglomerates (i.e., stand-alone)",9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
1,NEC,Part of other conglomerate groups,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
2,ABG,Aboitiz Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
3,ATG,Andrew Tan Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
4,AYL,Ayala Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
5,CNJ,Consunji Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
6,DEE,Dee Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
7,DNU,Udenna Corporation,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
8,EYG,Emilio Yap Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
9,TYG,George Ty Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
10,GKW,Gokongwei Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
11,GTN,Gotianun Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
12,LPZ,Lopez Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
13,LCG,Lucio Co Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
14,LTG,Lucio Tan Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
15,MVP,MVP Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
16,VLL,Manuel Villar Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
17,RAZ,Razon Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
18,RCY,Roberto Coyuito Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
19,ROP,Roberto Ongpin Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
20,SMC,SMC Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
21,SYG,Sy Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
22,TTC,Tony Tan Caktiong Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
23,YGC,Yuchengco Group,9998,2025-02-27 14:34:14.833,9998,2025-02-27 14:34:14.837
